iter	RMSE
0	0.5824128851
1	0.5599231176
2	0.5381273576
3	0.5181380576
4	0.4995737954
5	0.4810524689
6	0.4640216751
7	0.4480790129
8	0.4322614318
9	0.4172108653
10	0.4032290062
11	0.3897519787
12	0.3770938447
13	0.3654135393
14	0.3540198897
15	0.3440064715
16	0.3338894262
17	0.3243385705
18	0.3152068463
19	0.3071799889
20	0.2993146366
21	0.2920673722
22	0.2849028998
23	0.2777237385
24	0.2708871749
25	0.264371754
26	0.2590793522
27	0.2542442364
28	0.2496528571
29	0.2451198553
30	0.2408813094
31	0.2366862675
32	0.2329119943
33	0.2292407338
34	0.2261416976
35	0.2233197122
36	0.2203285054
37	0.2175240444
38	0.2147590427
39	0.2124170487
40	0.2104403271
41	0.2080240868
42	0.2061411556
43	0.2043850331
44	0.2026807116
45	0.20127957
46	0.2001459376
47	0.1990463957
48	0.1974943936
49	0.19644914
50	0.1951162192
51	0.1940425678
52	0.1928352887
53	0.1915045665
54	0.190440369
55	0.1896413129
56	0.1890723312
57	0.1884123027
58	0.1878462176
59	0.1874191381
60	0.1868296692
61	0.1861749009
62	0.1857066677
63	0.1854122617
64	0.1849985389
65	0.1845716162
66	0.1842697267
67	0.1837316745
68	0.1832409921
69	0.1828082269
70	0.1823659206
71	0.1820723624
72	0.1818192828
73	0.1813491296
74	0.181123875
75	0.1808330027
76	0.1804963662
77	0.1803033598
78	0.1801492538
79	0.1800457077
80	0.1797189554
81	0.1795084826
82	0.1793477519
83	0.1791789156
84	0.1788066055
85	0.1785873762
86	0.1782744855
87	0.1780544135
88	0.1779668557
89	0.1778629969
90	0.1776877344
91	0.1776142732
92	0.1772347413
93	0.1768852326
94	0.1767792576
95	0.1766128881
96	0.1764452304
97	0.1763569851
98	0.1762809081
99	0.1761167385
100	0.1760654212
101	0.175683979
102	0.1754975846
103	0.1754642859
104	0.1750274734
105	0.1748886837
106	0.1746613973
107	0.174577362
108	0.1743367834
109	0.1742347935
110	0.1740805223
111	0.1739615921
112	0.1738461178
113	0.1737482098
114	0.1736906182
115	0.1735903105
116	0.1735396772
117	0.1734532968
118	0.1733676883
119	0.1732844743
120	0.173165875
121	0.1730447963
122	0.1728558818
123	0.1727540735
124	0.1726248022
125	0.1725906481
126	0.1724438607
127	0.1724328713
128	0.172408732
129	0.1723639223
