iter	Passed	Remaining
0	7	7024
1	14	6955
2	18	5706
3	24	5712
4	30	5867
5	34	5383
6	42	5689
7	51	6061
8	58	6188
9	71	6740
10	79	6851
11	87	6873
12	96	7016
13	104	7024
14	112	7024
15	118	6970
16	126	6986
17	129	6754
18	140	6915
19	156	7308
20	174	7740
21	184	7824
22	202	8191
23	215	8336
24	228	8477
25	235	8395
26	251	8619
27	278	9222
28	290	9263
29	335	10327
30	344	10267
31	363	10463
32	379	10589
33	391	10583
34	396	10406
35	418	10661
36	429	10637
37	440	10620
38	452	10622
39	463	10594
40	475	10584
41	487	10591
42	501	10629
43	513	10624
44	526	10626
45	539	10644
46	550	10620
47	561	10603
48	574	10606
49	586	10607
50	598	10590
51	613	10635
52	624	10608
53	636	10614
54	650	10628
55	655	10510
56	667	10497
57	677	10459
58	688	10440
59	706	10519
60	725	10619
61	744	10705
62	760	10752
63	770	10719
64	781	10693
65	792	10666
66	804	10655
67	820	10686
68	833	10684
69	847	10701
70	853	10613
71	868	10639
72	884	10678
73	895	10647
74	910	10673
75	923	10671
76	934	10639
77	941	10570
78	953	10560
79	964	10535
80	980	10565
81	994	10577
82	1007	10570
83	1018	10548
84	1031	10548
85	1043	10533
86	1057	10541
87	1072	10549
88	1085	10547
89	1097	10534
90	1115	10576
91	1134	10630
92	1159	10731
93	1187	10864
94	1212	10962
95	1228	10983
96	1246	11010
97	1263	11037
98	1278	11044
99	1311	11201
100	1322	11170
101	1335	11152
102	1349	11149
103	1443	11800
104	1457	11785
105	1470	11761
106	1481	11724
107	1494	11709
108	1508	11695
109	1521	11670
110	1535	11657
111	1550	11653
112	1562	11625
113	1573	11594
114	1589	11593
115	1609	11625
116	1627	11639
117	1644	11648
118	1659	11644
119	1671	11614
120	1683	11586
121	1693	11549
122	1705	11521
123	1716	11486
124	1729	11468
125	1733	11389
126	1744	11357
127	1747	11276
128	1760	11256
129	1774	11247
130	1784	11214
131	1797	11193
132	1801	11121
133	1817	11122
134	1840	11164
135	1852	11142
136	1873	11175
137	1894	11204
138	1914	11223
139	1923	11183
140	1932	11142
141	1939	11092
142	1942	11017
143	1952	10982
144	1960	10936
145	1968	10892
146	1976	10850
147	1986	10820
148	1995	10781
149	2003	10738
150	2015	10716
151	2023	10677
152	2032	10641
153	2040	10601
154	2049	10564
155	2059	10535
156	2068	10498
157	2076	10461
158	2084	10424
159	2093	10390
160	2101	10351
161	2103	10283
162	2112	10252
163	2120	10214
164	2128	10177
165	2135	10139
166	2145	10108
167	2152	10072
168	2164	10052
169	2174	10029
170	2187	10018
171	2195	9981
172	2203	9947
173	2211	9911
174	2222	9891
175	2232	9869
176	2237	9822
177	2248	9803
178	2259	9781
179	2265	9741
180	2278	9732
181	2289	9709
182	2303	9705
183	2317	9697
184	2327	9674
185	2349	9699
186	2360	9683
187	2389	9735
188	2402	9724
189	2415	9712
190	2428	9701
191	2445	9704
192	2459	9695
193	2470	9679
194	2485	9674
195	2500	9670
196	2514	9662
197	2529	9657
198	2541	9641
199	2552	9623
200	2567	9620
201	2578	9598
202	2584	9562
203	2598	9551
204	2616	9558
205	2629	9548
206	2642	9534
207	2657	9530
208	2670	9518
209	2684	9511
210	2698	9503
211	2714	9499
212	2724	9477
213	2733	9453
214	2742	9427
215	2751	9401
216	2759	9371
217	2766	9339
218	2775	9314
219	2793	9319
220	2808	9313
221	2827	9322
222	2840	9312
223	2849	9285
224	2857	9257
225	2867	9236
226	2875	9209
227	2884	9184
228	2897	9174
229	2911	9165
230	2918	9133
231	2921	9092
232	2930	9066
233	2940	9047
234	2951	9029
235	2963	9015
236	2971	8989
237	2979	8964
238	2989	8943
239	2999	8924
240	3008	8900
241	3018	8881
242	3026	8856
243	3036	8837
244	3045	8812
245	3053	8787
246	3062	8766
247	3071	8742
248	3079	8719
249	3087	8694
250	3096	8671
251	3108	8658
252	3120	8645
253	3132	8632
254	3141	8611
255	3150	8590
256	3159	8567
257	3166	8542
258	3175	8519
259	3183	8497
260	3191	8474
261	3199	8449
262	3208	8431
263	3221	8418
264	3234	8410
265	3244	8392
266	3255	8377
267	3267	8364
268	3278	8347
269	3295	8348
270	3309	8341
271	3329	8347
272	3338	8327
273	3351	8318
274	3381	8350
275	3392	8333
276	3404	8320
277	3417	8310
278	3437	8316
279	3448	8299
280	3459	8285
281	3473	8276
282	3486	8266
283	3499	8256
284	3512	8245
285	3523	8230
286	3538	8224
287	3552	8214
288	3563	8199
289	3574	8185
290	3587	8173
291	3600	8161
292	3613	8152
293	3627	8142
294	3637	8126
295	3648	8110
296	3662	8101
297	3673	8086
298	3684	8071
299	3696	8057
300	3708	8046
301	3718	8028
302	3726	8007
303	3735	7987
304	3744	7967
305	3752	7945
306	3759	7924
307	3769	7905
308	3777	7884
309	3785	7864
310	3797	7851
311	3807	7835
312	3824	7832
313	3838	7822
314	3853	7816
315	3868	7810
316	3876	7789
317	3888	7777
318	3901	7766
319	3914	7755
320	3927	7744
321	3934	7723
322	3943	7703
323	3951	7683
324	3960	7665
325	3969	7646
326	3978	7628
327	3988	7612
328	3999	7598
329	4007	7578
330	4015	7556
331	4024	7539
332	4032	7520
333	4039	7499
334	4047	7479
335	4055	7459
336	4063	7439
337	4071	7420
338	4080	7402
339	4089	7385
340	4097	7365
341	4105	7346
342	4114	7329
343	4124	7314
344	4132	7295
345	4142	7279
346	4149	7258
347	4157	7240
348	4165	7221
349	4174	7203
350	4182	7184
351	4190	7166
352	4199	7149
353	4210	7136
354	4221	7122
355	4232	7110
356	4245	7099
357	4257	7087
358	4269	7075
359	4282	7065
360	4295	7055
361	4309	7046
362	4323	7038
363	4336	7029
364	4355	7028
365	4372	7025
366	4381	7007
367	4391	6992
368	4401	6977
369	4415	6968
370	4432	6966
371	4461	6980
372	4472	6966
373	4486	6957
374	4498	6945
375	4511	6935
376	4524	6924
377	4537	6914
