iter	Passed	Remaining
0	23	9014
1	48	9344
2	73	9537
3	92	8930
4	117	9032
5	134	8601
6	153	8387
7	172	8253
8	192	8140
9	212	8093
10	234	8092
11	268	8444
12	305	8848
13	346	9317
14	381	9546
15	423	9890
16	459	10087
17	481	9948
18	512	10002
19	560	10361
20	607	10668
21	645	10790
22	660	10544
23	686	10467
24	705	10295
25	734	10287
26	755	10157
27	772	9993
28	795	9904
29	832	9994
30	864	10007
31	908	10166
32	927	10039
33	963	10090
34	999	10133
35	1028	10116
36	1050	10018
37	1082	10023
38	1116	10051
39	1160	10156
40	1197	10191
41	1216	10077
42	1256	10137
43	1328	10443
44	1444	11075
45	1496	11193
46	1525	11135
47	1553	11071
48	1587	11049
49	1626	11063
50	1658	11024
51	1670	10860
52	1775	11291
53	1892	11777
54	1943	11838
55	1976	11787
56	2018	11793
57	2065	11824
58	2096	11763
59	2114	11630
60	2153	11612
61	2176	11515
62	2211	11477
63	2229	11357
64	2271	11355
65	2305	11317
66	2333	11251
67	2356	11160
68	2374	11047
69	2398	10965
70	2428	10909
71	2446	10804
72	2471	10731
73	2487	10623
74	2508	10533
75	2525	10436
76	2537	10312
77	2554	10216
78	2571	10124
79	2588	10032
80	2602	9928
81	2614	9822
82	2632	9737
83	2673	9738
84	2693	9665
85	2712	9589
86	2725	9493
87	2741	9409
88	2757	9326
89	2771	9237
90	2793	9177
91	2811	9108
92	2832	9046
93	2849	8973
94	2865	8898
95	2883	8831
96	2899	8758
97	2913	8682
98	2927	8603
99	2942	8531
100	2957	8463
101	2975	8401
102	3003	8370
103	3037	8354
104	3075	8348
105	3095	8293
106	3113	8234
107	3133	8181
108	3146	8111
109	3161	8046
110	3174	7978
111	3191	7920
112	3212	7875
113	3231	7824
114	3244	7758
115	3258	7697
116	3273	7638
117	3286	7575
118	3298	7512
119	3311	7451
120	3333	7411
121	3350	7359
122	3366	7308
123	3381	7254
124	3394	7195
125	3405	7135
126	3429	7101
127	3455	7072
128	3473	7028
129	3483	6967
130	3497	6914
131	3510	6860
132	3527	6817
133	3548	6779
134	3572	6748
135	3603	6730
136	3617	6680
137	3628	6626
138	3642	6576
139	3652	6521
140	3664	6471
141	3684	6434
142	3700	6392
143	3714	6345
144	3726	6297
145	3743	6256
146	3759	6215
147	3773	6170
148	3804	6152
149	3832	6131
150	3851	6095
151	3862	6047
152	3879	6009
153	3896	5970
154	3915	5937
155	3932	5898
156	3948	5859
157	3963	5819
158	3977	5779
159	3991	5737
160	4017	5714
161	4033	5676
162	4043	5631
163	4057	5591
