iter	RMSE
0	0.6403432182
1	0.6200624145
2	0.6006594195
3	0.5820088735
4	0.5639971401
5	0.5467329086
6	0.5301821953
7	0.5141876571
8	0.4988394499
9	0.4842523048
10	0.4700748435
11	0.4565393503
12	0.44347078
13	0.4311034332
14	0.4190559191
15	0.4074959524
16	0.396553486
17	0.3859500229
18	0.3758663571
19	0.3661408168
20	0.3569488666
21	0.3480530863
22	0.3395104948
23	0.3313599991
24	0.3235202119
25	0.3162149266
26	0.3090836981
27	0.30225457
28	0.2957958689
29	0.2896802411
30	0.2837309655
31	0.2780496209
32	0.2727267193
33	0.2676163719
34	0.2628054563
35	0.2583456457
36	0.2538833294
37	0.2497180622
38	0.2457124375
39	0.2418662307
40	0.2382394106
41	0.2348809385
42	0.2316381468
43	0.2286094124
44	0.2257338165
45	0.2230479318
46	0.2204887668
47	0.2181075794
48	0.2157882563
49	0.2136139957
50	0.2117135583
51	0.2095985459
52	0.2075517804
53	0.2057790571
54	0.2041522396
55	0.2025765313
56	0.200994645
57	0.1995451028
58	0.1982126669
59	0.1969117076
60	0.1956398517
61	0.1944345519
62	0.1931401058
63	0.1921069309
64	0.1910725206
65	0.1899830717
66	0.1889290087
67	0.1880932966
68	0.1872371632
69	0.1864393172
70	0.1856101458
71	0.1848674034
72	0.1840653795
73	0.1834340105
74	0.1827128968
75	0.1821550954
76	0.1816139828
77	0.180989507
78	0.1805141585
79	0.1799309671
80	0.1794200181
81	0.1789873336
82	0.178534713
83	0.1781454307
84	0.177815595
85	0.1773875072
86	0.1769806524
87	0.1764869769
88	0.1761807584
89	0.1758266237
90	0.1755267032
91	0.1752122779
92	0.1749134741
93	0.174597712
94	0.1742080818
95	0.17379045
96	0.1735373852
97	0.1731987972
98	0.1730389409
99	0.1728320298
100	0.1724100412
101	0.1721085259
102	0.1719468006
103	0.1715313917
104	0.171240597
105	0.1710476003
106	0.170753588
107	0.1705044454
108	0.1702983876
109	0.1700660965
110	0.169910171
111	0.1697654565
112	0.1693549663
113	0.1691242106
114	0.1688799045
115	0.1687307742
116	0.1686299444
117	0.1685252641
118	0.1683406852
119	0.1680006824
120	0.1676584592
121	0.1674801634
122	0.1672516349
123	0.167045061
124	0.1668506043
125	0.1666483866
126	0.1665090712
127	0.1663292624
128	0.1660093721
129	0.1658837107
130	0.165660684
131	0.1654096237
132	0.1651212472
133	0.1649758492
134	0.1648809763
135	0.1646547944
136	0.1644577694
137	0.1642760253
138	0.1640530741
139	0.1637707043
140	0.1636506431
141	0.1634548004
142	0.1631977283
143	0.1629819858
144	0.1628107704
145	0.1626019056
146	0.1623600488
147	0.1622410862
148	0.1620931484
149	0.161977225
150	0.1618332787
151	0.1617681585
152	0.1617159485
153	0.1615805224
154	0.1613901167
155	0.1612129331
156	0.1609131337
157	0.1607892935
158	0.1606774985
159	0.1604447444
160	0.1602153747
161	0.1601062396
162	0.1600313893
163	0.1597597525
164	0.159641381
165	0.1594449496
166	0.1593386651
167	0.1592856917
168	0.1591047082
169	0.1589077357
170	0.1588486456
171	0.1586660258
172	0.1585229804
173	0.1582666337
174	0.1581249453
175	0.1579057132
176	0.1576677477
177	0.1574655955
178	0.1573822751
179	0.1571798673
180	0.1570365202
181	0.1569524545
182	0.1568658157
183	0.1566761541
184	0.1565553684
185	0.1564274876
186	0.1563444886
187	0.156113445
188	0.1559987034
189	0.1558768949
190	0.1557644734
191	0.1557008976
192	0.1555720729
193	0.1555007486
194	0.1553137065
195	0.1552003591
196	0.1550041142
197	0.1548487979
198	0.1546318784
199	0.1545082094
200	0.1543302594
201	0.1541821564
202	0.1540990835
203	0.1539935034
204	0.1538376057
205	0.1536892753
206	0.1535835597
207	0.153461302
208	0.1532405824
209	0.153135443
210	0.1528983346
211	0.1526486574
212	0.1524811477
213	0.1523439778
214	0.1521193171
215	0.151978576
216	0.1518294761
217	0.1516024137
218	0.1514564337
219	0.1513088361
220	0.1511509583
221	0.1510500651
222	0.1509046835
223	0.1507285124
224	0.1505845837
225	0.150496148
226	0.1504408169
227	0.1502294659
228	0.1501014363
229	0.1499240384
230	0.1498606099
231	0.1496914748
232	0.1494901185
233	0.1493580701
234	0.1492042153
235	0.1490267106
236	0.1488713434
237	0.1487492244
238	0.148461523
239	0.1483025386
240	0.1481301326
241	0.147931732
242	0.1477645381
243	0.1477077813
244	0.1475441371
245	0.1474051121
246	0.14727346
247	0.1471222639
248	0.1469957948
249	0.146839565
250	0.1467240831
251	0.1466408661
252	0.1464000113
253	0.146290181
254	0.14605186
255	0.1458782482
256	0.1458236105
257	0.1456776243
258	0.1455796398
259	0.145449718
260	0.145309436
261	0.1452338718
262	0.1450330092
263	0.1448522017
264	0.1447023383
265	0.1445468361
266	0.1444196927
267	0.1442548508
268	0.1440204058
269	0.1438513582
270	0.1436696143
271	0.1435852283
272	0.1434658093
273	0.1433067634
274	0.143175026
275	0.1430698041
276	0.143036804
277	0.1429442241
278	0.1427958086
279	0.1425433203
280	0.1423817017
281	0.1422906206
282	0.1420777896
283	0.1419719931
284	0.14191805
285	0.1417601124
286	0.1415866994
287	0.1413743188
288	0.1411954922
289	0.1409963219
290	0.1408242619
291	0.1406293932
292	0.1404372944
293	0.1402815455
294	0.1401490097
295	0.1399675841
296	0.1398436975
297	0.1396999577
298	0.1394918227
299	0.1393362519
300	0.1391944957
301	0.1391090052
302	0.1389691435
303	0.1388133907
304	0.138628651
305	0.1385112174
306	0.1383043545
307	0.1381863565
308	0.1380092537
309	0.137845517
310	0.1377072975
311	0.1375715984
312	0.1373899389
313	0.1371785329
314	0.1370425255
315	0.1368526219
316	0.1367628452
317	0.1366791805
318	0.1365812547
319	0.1364554232
320	0.1362619383
321	0.1361170367
322	0.1359484093
323	0.1358580453
324	0.1358014643
325	0.1357657002
326	0.1355141183
327	0.1353304105
328	0.1352377505
329	0.1350961146
330	0.1350356207
331	0.1349381646
332	0.1348461682
333	0.1347682265
334	0.1346083142
335	0.1343835644
336	0.1342482513
337	0.134114619
338	0.1340085376
339	0.1337888246
340	0.1336818214
341	0.1335513868
342	0.1334152951
343	0.1331849298
344	0.1330895217
345	0.1328909847
346	0.132702949
347	0.1325350926
348	0.132354226
349	0.1321919851
350	0.1320238623
351	0.1319131076
352	0.1317441873
353	0.1315615336
354	0.1314279058
355	0.1312425429
356	0.1309722293
357	0.1307982496
358	0.1306339249
359	0.1304975603
360	0.1303823031
361	0.1302145904
362	0.1301085832
363	0.130020776
364	0.1298638161
365	0.1297275264
366	0.1296455217
367	0.1295398031
368	0.1293563501
369	0.129215099
370	0.1290486218
371	0.1288915165
372	0.1286858424
373	0.1284791997
374	0.1284030222
375	0.1282401932
376	0.1280779301
377	0.1279263622
378	0.1278140621
379	0.1277947063
380	0.1277049756
381	0.1275942811
382	0.1274296543
383	0.1273251766
384	0.1271408122
385	0.126998222
386	0.1268885892
387	0.1267494541
388	0.1266099615
389	0.1263863799
390	0.1261624046
391	0.1260014461
392	0.1258349173
393	0.1257013648
394	0.1255410728
395	0.1253997579
396	0.1253300751
397	0.1251496281
398	0.12507552
399	0.1249431528
400	0.1248304516
401	0.1246494881
402	0.1245010507
403	0.1243380242
404	0.1242572958
405	0.1240939863
406	0.123917578
407	0.1238115519
408	0.1236400878
409	0.1234615652
410	0.1233393084
411	0.1230388902
412	0.1228334242
413	0.1227322485
414	0.1225641618
415	0.1224229191
416	0.1222571332
417	0.1220733612
418	0.1218765947
419	0.1217015425
420	0.1215634112
421	0.121427608
422	0.1213114649
423	0.1211504634
424	0.1210906928
425	0.1208942012
426	0.1207516733
427	0.120556576
428	0.1204543455
429	0.1202661453
430	0.1201827988
431	0.1201181412
432	0.1199857828
433	0.1198523543
434	0.1196972711
435	0.1195490755
436	0.1193644721
437	0.1191846395
438	0.1190324968
439	0.1189835875
440	0.1189354932
441	0.1188094489
442	0.1187239086
443	0.1185868364
444	0.1185006314
445	0.1182739996
446	0.1181219404
447	0.117972789
448	0.1179138511
449	0.1178149645
450	0.1177561791
451	0.1175650206
452	0.1174208869
453	0.117323154
454	0.1171989345
455	0.1171034289
456	0.1169283691
457	0.1167328694
458	0.1165895905
459	0.116333279
460	0.1161825842
461	0.1160605648
462	0.1159651372
463	0.1158984306
464	0.1158197946
465	0.1157766405
466	0.1157493835
467	0.1156141672
468	0.1154431587
469	0.1153505665
470	0.1152159172
471	0.1151407592
472	0.1149773029
473	0.1147254146
474	0.1145376573
475	0.114344862
476	0.1142153707
477	0.1139926295
478	0.1138654956
479	0.1136826729
480	0.1135154654
481	0.1134665081
482	0.1133466722
483	0.1132155919
484	0.1130230416
485	0.1129005418
486	0.1127996037
487	0.1126599818
488	0.1125866289
489	0.1124580768
490	0.112365512
491	0.1122702665
492	0.1121168413
493	0.1119208233
494	0.1117657153
495	0.1115529548
496	0.1113674457
497	0.1113334522
498	0.1112396328
499	0.1110752102
500	0.1109477338
501	0.1108073163
502	0.1106576908
503	0.1105438841
504	0.1104445357
505	0.1102818862
506	0.1101021003
507	0.1100889557
508	0.1099085764
509	0.1097544873
510	0.1096863979
511	0.1096391895
512	0.1095584751
513	0.1094806218
514	0.109408046
515	0.1093068946
516	0.1091592801
517	0.1090190302
518	0.1088826098
519	0.1087038073
520	0.1086095207
521	0.1085252927
522	0.1083252466
523	0.1081776688
524	0.108042462
525	0.1079963678
526	0.1078925802
527	0.1077359037
528	0.1075638097
529	0.1074127041
530	0.1072972393
531	0.1071595872
532	0.1069692279
533	0.1068106127
534	0.1066101621
535	0.1064554472
536	0.1062722106
537	0.1061513297
538	0.1059989499
539	0.10579287
540	0.1057634348
541	0.105630284
542	0.1054615828
543	0.1054022294
544	0.1052997142
545	0.1051982946
546	0.1051069043
547	0.1049348945
548	0.1048298631
549	0.1047628186
550	0.1046124756
551	0.1044748515
552	0.1043691407
553	0.104272218
554	0.1042105634
555	0.1039817839
556	0.1037846905
557	0.1036977688
558	0.1035950094
559	0.1034872012
560	0.103445277
561	0.1033292806
562	0.1031624466
563	0.1030445466
564	0.1028579068
565	0.1027891134
566	0.1026933147
567	0.102561295
568	0.1024303167
569	0.1023060279
570	0.1020901287
571	0.1020355961
572	0.1019223272
573	0.1018007602
574	0.1016471193
575	0.101527721
576	0.1013529263
577	0.101184108
578	0.1010997873
579	0.1009569742
580	0.1008347437
581	0.1007532476
582	0.100629468
583	0.1005277556
584	0.1004019766
585	0.1003544109
586	0.1002243298
587	0.1001111186
588	0.09995162974
589	0.09989558602
590	0.09981927931
591	0.09968287451
592	0.09952862327
593	0.09936783512
594	0.099198797
595	0.09908875585
596	0.098952453
597	0.098859353
598	0.09867727656
599	0.09860154168
600	0.09852638483
601	0.09840320546
602	0.09836054497
603	0.09822952047
604	0.09813333389
605	0.09803614593
606	0.09793321179
607	0.0978516001
608	0.09772652692
609	0.09765542165
610	0.09756867893
611	0.09745617932
612	0.09733056854
613	0.09723256666
614	0.09718266215
615	0.09709578925
616	0.09695678719
617	0.09689171175
618	0.09680715874
619	0.09664876161
620	0.09648757932
621	0.09634658324
622	0.0962360205
623	0.0961846077
624	0.09612340701
625	0.09595519036
626	0.09588345771
627	0.09578438141
628	0.09570677398
629	0.09559041147
630	0.09548586719
631	0.09531566663
632	0.09517076222
633	0.09510493886
634	0.09498684474
635	0.09483554836
636	0.09475234546
637	0.09466008564
638	0.09449398838
639	0.09435333929
640	0.09423376809
641	0.09413830116
642	0.09401954032
643	0.0938812051
644	0.09377268674
645	0.09362966104
646	0.09358283592
647	0.09351843311
648	0.09346179938
649	0.09336376488
650	0.09325163103
651	0.09315265609
652	0.09298537126
653	0.09288856683
654	0.09278651151
655	0.09273690315
656	0.09270991012
657	0.09254366164
658	0.09238964401
659	0.09229944208
660	0.09220589474
661	0.09209697387
662	0.09201516564
663	0.09194279596
664	0.09181950161
665	0.09178504213
666	0.09173054484
667	0.09163584547
668	0.09154867186
669	0.09143278982
670	0.09131969524
671	0.09121340828
672	0.09111846483
673	0.09095996876
674	0.09079987611
675	0.09074793576
676	0.09066086896
677	0.09055686403
678	0.09042601636
679	0.09031434961
680	0.09019906474
681	0.09009610526
682	0.09002901971
683	0.08988347269
684	0.08980770967
685	0.08971185802
686	0.08954722962
687	0.08946032243
688	0.08937716967
689	0.08927938725
690	0.08922616765
691	0.0891626981
692	0.08905198045
693	0.08892760784
694	0.0888159752
695	0.08869951636
696	0.08862178157
697	0.08850487276
698	0.08838676393
699	0.08833096799
700	0.08815749898
701	0.08804400559
702	0.08791034373
703	0.0877952644
704	0.08769734387
705	0.08757294166
706	0.0874400791
707	0.08734824541
708	0.08723793547
709	0.08709524265
710	0.08698451018
711	0.08692728407
712	0.08678724574
713	0.08664812773
714	0.08646497811
715	0.08639487409
716	0.086266625
717	0.08615137282
718	0.08609732981
719	0.08602753228
720	0.0858977275
721	0.08579591135
722	0.08568258362
723	0.0856160272
724	0.08557721647
725	0.0854918393
726	0.0853718777
727	0.0852956633
728	0.08519704283
729	0.08508554784
730	0.08501363449
731	0.08485543012
732	0.08474689741
733	0.08465997959
734	0.08457482604
735	0.08450096762
736	0.08436793724
737	0.0843119007
738	0.08427382891
739	0.08422602274
740	0.0840821005
741	0.08398763453
742	0.08391613724
743	0.08380972589
744	0.08371366409
745	0.08359868525
746	0.08352989485
747	0.08339794753
748	0.08323178989
749	0.08313509058
750	0.08308831498
751	0.08296023452
752	0.08284272017
753	0.08272505811
754	0.08257707414
755	0.08250936184
756	0.08239213585
757	0.08226579831
758	0.08219155381
759	0.08208614798
760	0.08202501558
761	0.08201716525
762	0.08191353803
763	0.08184414624
764	0.08172726743
765	0.08167224359
766	0.08160275248
767	0.08148478011
768	0.08136712089
769	0.0812541694
770	0.08113887865
771	0.08100941809
772	0.08087454507
773	0.08076201016
774	0.08073419301
775	0.08066621469
776	0.08054665401
777	0.08048676738
778	0.080417247
779	0.08032001444
780	0.08029749171
781	0.0802111244
782	0.0800772492
