iter	RMSE
0	0.5842406
1	0.5637080588
2	0.5438406845
3	0.5248713477
4	0.5067903251
5	0.4895024294
6	0.4728453915
7	0.4569143916
8	0.4419662055
9	0.4274792739
10	0.4137069236
11	0.400438749
12	0.3877740286
13	0.3755386666
14	0.364031142
15	0.3529717436
16	0.3424361834
17	0.3325121887
18	0.3230081272
19	0.3139764366
20	0.3053424054
21	0.2971306204
22	0.2892600478
23	0.2819516102
24	0.2748682281
25	0.2681898483
26	0.2618045504
27	0.2558168588
28	0.2500529427
29	0.2446518047
30	0.2394296433
31	0.2345836261
32	0.2300435234
33	0.2256382407
34	0.221531159
35	0.217720143
36	0.214144417
37	0.2107033181
38	0.207405156
39	0.2043428625
40	0.2013791885
41	0.19866493
42	0.1960927456
43	0.1936892451
44	0.1914215674
45	0.1892909741
46	0.1873186163
47	0.185397709
48	0.1835803872
49	0.181985167
50	0.1804038567
51	0.1789929337
52	0.1776830606
53	0.1764811022
54	0.1753332739
55	0.1741764896
56	0.1731023737
57	0.1720654703
58	0.1711246726
59	0.1702382738
60	0.169357304
61	0.1685924122
62	0.1679131869
63	0.1671896089
64	0.1664479613
65	0.1657802631
66	0.1651503446
67	0.1645700681
68	0.1640754044
69	0.1635681873
70	0.1630464695
71	0.1625535659
72	0.16212631
73	0.1617919614
74	0.1613765381
75	0.1609504552
76	0.160583628
77	0.1602616974
78	0.1599739516
79	0.1596665299
80	0.1594300862
81	0.1591828561
82	0.1589396208
83	0.1587259894
84	0.1584653106
85	0.1582839429
86	0.1580964518
87	0.157904553
88	0.1577399631
89	0.1575392397
90	0.1573907322
91	0.1572171205
92	0.1570616247
93	0.1568650278
94	0.15678981
95	0.1566203225
96	0.1564563526
97	0.1562507068
98	0.1561368984
99	0.1560028353
100	0.1558320519
101	0.155734635
102	0.1555936186
103	0.1555110998
104	0.1553969076
105	0.1552909587
106	0.1551501469
107	0.155091845
108	0.1549551706
109	0.1548507737
110	0.1547322237
111	0.154667252
112	0.1545390731
113	0.1544750653
114	0.1543786188
115	0.1542791612
116	0.1541663317
117	0.1540228093
118	0.1539518952
119	0.1538776112
120	0.1537578646
121	0.1536881097
122	0.1535973769
123	0.1534973993
124	0.15340023
125	0.1533064105
126	0.1532388984
127	0.1531741125
128	0.1530450473
129	0.1529657989
130	0.1528982229
131	0.152791028
132	0.1527196396
133	0.1526485052
134	0.1525523424
135	0.1524702951
136	0.152436731
137	0.1523679956
138	0.1523097637
139	0.1522606041
140	0.1521936696
141	0.1521224037
142	0.1520671876
