iter	Passed	Remaining
0	11	4497
1	27	5257
2	44	5804
3	60	5873
4	85	6595
5	118	7585
6	141	7714
7	158	7552
8	193	8203
9	222	8454
10	247	8517
11	263	8310
12	288	8359
13	306	8223
14	331	8290
15	346	8109
16	359	7884
17	378	7820
18	407	7962
19	427	7904
20	446	7850
21	465	7794
22	485	7741
23	499	7615
24	515	7530
25	545	7637
26	571	7679
27	610	7889
28	646	8047
29	664	7976
30	682	7904
31	707	7914
32	724	7832
33	742	7771
34	753	7644
35	769	7562
36	787	7511
37	805	7458
38	820	7385
39	835	7309
40	855	7284
41	875	7250
42	902	7284
43	918	7225
44	937	7183
45	955	7147
46	972	7094
47	1001	7133
48	1065	7415
49	1088	7402
50	1113	7399
51	1129	7343
52	1156	7351
53	1183	7365
54	1220	7435
55	1249	7454
56	1278	7466
57	1435	8214
58	1524	8555
59	1580	8693
60	1625	8767
61	1644	8702
62	1668	8659
63	1704	8683
64	1746	8731
65	1775	8716
66	1811	8733
67	1833	8681
68	1855	8634
69	1875	8572
70	1909	8577
71	1929	8520
72	1943	8440
73	1954	8344
74	1972	8284
75	1992	8230
76	2020	8214
77	2037	8150
78	2056	8094
79	2086	8086
80	2104	8026
81	2121	7969
82	2140	7917
83	2157	7857
84	2190	7858
85	2204	7793
86	2217	7722
87	2243	7699
88	2261	7647
89	2278	7594
90	2290	7525
91	2315	7499
92	2340	7473
93	2365	7449
94	2373	7368
95	2392	7326
96	2406	7268
97	2423	7221
98	2438	7166
99	2452	7111
100	2466	7058
101	2477	6996
102	2491	6942
103	2499	6873
104	2513	6821
105	2537	6797
106	2555	6759
107	2564	6695
108	2583	6660
109	2600	6619
110	2614	6570
111	2624	6515
112	2639	6469
113	2650	6417
114	2667	6378
115	2687	6348
116	2715	6336
117	2738	6312
118	2757	6279
119	2782	6260
120	2816	6261
121	2840	6239
122	2871	6233
123	2891	6202
124	2908	6166
125	2927	6134
126	2940	6090
127	2966	6071
128	2995	6060
129	3014	6028
130	3038	6006
131	3065	5991
132	3087	5966
133	3120	5961
134	3168	5984
135	3216	6007
136	3246	5995
137	3272	5975
138	3300	5959
139	3321	5931
140	3347	5912
141	3380	5903
142	3426	5919
