iter	Passed	Remaining
0	246	188428
1	483	184406
2	692	175937
3	946	180151
4	1406	213843
5	1674	211785
6	1976	213995
7	2595	245635
8	2761	231970
9	3176	239828
10	3449	236471
11	3783	237401
12	4086	236402
13	4333	232451
14	4690	234511
15	5096	238578
16	5375	236537
17	5679	235682
18	6090	239151
19	6387	237950
20	6600	233862
21	6916	233596
22	7345	236963
23	7666	236714
24	8190	242429
25	8587	244084
26	8980	245461
27	9476	249435
28	9875	250630
29	10147	248612
30	10768	254971
31	11179	256077
32	11616	257667
33	12131	260826
34	12440	259476
35	12846	260133
36	13146	258665
37	13489	258083
38	13881	258400
39	14243	258160
40	14650	258708
41	14904	256571
42	15416	258856
43	15845	259646
44	16326	261223
45	16893	264049
46	17351	265067
47	17563	262355
48	18054	263816
49	18487	264371
50	18780	262925
51	19019	260788
52	19414	260810
53	19722	259683
54	20060	258967
55	20498	259519
56	20778	258095
57	21163	257981
58	21650	259069
59	21816	256339
60	22146	255597
61	22402	254015
62	22716	253121
63	22922	251069
64	23270	250609
65	23669	250680
66	24025	250291
67	24375	249844
68	24492	247052
69	24783	246064
70	25220	246522
71	25517	245610
72	25849	245038
73	26049	243246
74	26477	243589
75	26834	243273
76	27167	242739
77	27656	243586
78	27927	242508
79	28280	242152
80	28534	240956
81	28897	240691
82	29247	240322
83	29490	239082
84	29738	237910
85	29965	236589
86	30246	235716
87	30562	235120
88	30939	235004
89	31209	234072
90	31594	234007
91	31967	233848
92	32443	234428
93	32812	234228
94	33232	234379
95	33582	234025
96	33787	232679
97	34159	232495
98	34440	231687
99	34790	231356
100	35037	230344
101	35230	228995
102	35540	228426
103	35861	227929
104	36216	227649
105	36589	227473
106	36831	226498
107	37094	225657
108	37300	224489
109	37639	224124
110	37902	223315
111	38264	223093
112	38672	223134
113	39012	222780
114	39372	222542
115	39698	222107
116	40045	221788
117	40433	221700
118	40774	221348
119	41203	221468
120	41722	222062
121	41914	220907
122	42188	220200
123	42506	219731
124	42789	219081
125	43070	218430
126	43398	218019
127	43709	217523
128	44055	217203
129	44402	216891
130	44720	216434
131	44992	215759
132	45303	215276
133	45697	215185
134	45895	214177
135	46039	212934
136	46347	212455
137	46706	212209
138	47006	211696
139	47280	211075
140	47582	210577
141	47918	210235
142	48025	208895
143	48252	208088
144	48641	207985
145	48933	207465
146	49201	206847
147	49432	206080
148	49846	206074
149	50018	205074
150	50212	204175
151	50684	204407
152	51007	204030
153	51219	203213
154	51455	202500
155	51782	202152
156	52097	201752
157	52315	200985
158	52552	200293
159	52939	200176
160	53230	199696
161	53459	198988
162	53777	198613
163	54043	198050
164	54245	197256
165	54459	196512
166	54714	195922
167	54843	194891
168	55116	194373
169	55345	193709
170	55791	193800
171	56064	193291
172	56226	192404
173	56534	192022
174	56772	191404
175	57082	191031
176	57277	190279
177	57517	189678
178	57846	189374
179	58129	188921
180	58330	188203
181	58651	187879
182	58888	187286
183	59109	186646
184	59356	186091
185	59694	185823
186	59995	185441
187	60344	185205
188	60710	185021
189	61007	184627
190	61280	184160
191	61490	183512
192	61841	183280
193	62084	182734
194	62275	182034
195	62492	181418
196	62805	181084
197	63026	180484
198	63190	179727
199	63441	179221
200	63698	178735
201	64032	178466
202	64247	177866
203	64582	177601
204	64775	176948
205	65066	176563
206	65258	175915
207	65481	175350
208	65798	175042
209	66022	174488
210	66267	173990
211	66619	173775
212	66905	173389
213	67122	172823
214	67330	172240
215	67615	171855
216	67873	171404
217	67997	170617
218	68313	170315
219	68476	169635
220	68744	169217
221	69082	168971
222	69299	168432
223	69564	168010
224	69845	167628
225	70112	167215
226	70430	166922
227	70710	166541
228	70878	165899
229	71179	165570
230	71293	164808
231	71497	164258
232	71811	163964
233	72000	163386
234	72186	162802
235	72402	162293
236	72674	161906
237	72895	161410
238	73049	160769
239	73311	160368
240	73472	159749
241	73811	159517
242	73978	158917
243	74169	158371
244	74442	158000
245	74541	157263
246	74695	156649
247	74919	156183
248	75150	155734
