iter	RMSE
0	0.6506630629
1	0.6276686562
2	0.6055942676
3	0.5844044885
4	0.5643593742
5	0.5450438109
6	0.5269773119
7	0.509396446
8	0.4925939734
9	0.4765656499
10	0.4611697223
11	0.446385365
12	0.4322686517
13	0.4188649602
14	0.4061790257
15	0.3937556093
16	0.382112448
17	0.3709833952
18	0.3605362823
19	0.3504995003
20	0.3409407217
21	0.3319287315
22	0.3233598552
23	0.3154573292
24	0.3077600936
25	0.3003324427
26	0.2934221273
27	0.286702553
28	0.2804970689
29	0.2745685039
30	0.2689334982
31	0.263716098
32	0.2587301989
33	0.2540697684
34	0.2496458719
35	0.2454394227
36	0.2415488415
37	0.2378625665
38	0.2342810289
39	0.2310297034
40	0.2279120913
41	0.2249900304
42	0.2221791551
43	0.2195629229
44	0.2171261426
45	0.2148813342
46	0.2127648385
47	0.2107837787
48	0.2089153148
49	0.207160317
50	0.2055322298
51	0.203953172
52	0.2024434979
53	0.2011265991
54	0.1998097552
55	0.198616779
56	0.1974587549
57	0.1963921796
58	0.1953235364
59	0.1944039665
60	0.1934767691
61	0.1926171382
62	0.1918210364
63	0.1911193211
64	0.1904598419
65	0.189723718
66	0.1890087732
67	0.1883629698
68	0.1878173415
69	0.1871756029
70	0.1867512336
71	0.1862856555
72	0.1857865462
73	0.1853920555
