iter	Passed	Remaining
400	41979	41142
401	42045	40999
402	42172	40916
403	42291	40825
404	42394	40720
405	42517	40632
406	42624	40529
407	42745	40440
408	42887	40370
409	43039	40310
410	43151	40212
411	43264	40113
412	43375	40015
413	43493	39921
414	43633	39848
415	43744	39748
416	43850	39643
417	43975	39556
418	44141	39506
419	44257	39410
420	44370	39311
421	44463	39195
422	44571	39092
423	44654	38967
424	44718	38826
425	44833	38729
426	44930	38617
427	45056	38529
428	45186	38445
429	45282	38332
430	45383	38223
431	45496	38124
432	45610	38026
433	45741	37942
434	45858	37846
435	45962	37739
436	46101	37661
437	46233	37578
438	46378	37504
439	46470	37387
440	46552	37263
441	46640	37143
442	46783	37067
443	46885	36958
444	47035	36888
445	47118	36764
446	47208	36647
447	47317	36544
448	47432	36446
449	47511	36319
450	47635	36228
451	47705	36095
452	47852	36021
453	47919	35886
454	48072	35816
455	48145	35686
456	48245	35576
457	48358	35477
458	48505	35401
459	48626	35307
460	48720	35192
461	48856	35108
462	48973	35011
463	49067	34896
464	49184	34799
465	49260	34672
466	49364	34565
467	49482	34468
468	49566	34347
469	49709	34267
470	49796	34149
471	49944	34072
472	50066	33977
473	50137	33848
474	50247	33744
475	50348	33636
476	50473	33543
477	50585	33441
478	50703	33343
479	50860	33271
480	50989	33180
481	51079	33063
482	51139	32928
483	51274	32840
484	51371	32729
485	51489	32631
486	51581	32516
487	51698	32417
488	51788	32301
489	51868	32179
490	52015	32099
491	52133	32000
492	52288	31924
493	52379	31809
494	52460	31688
495	52591	31597
496	52729	31510
497	52830	31401
498	52951	31303
499	53120	31234
500	53219	31124
501	53357	31036
502	53473	30935
503	53639	30863
504	53789	30782
505	53919	30689
506	54016	30577
507	54197	30512
508	54328	30419
509	54460	30326
510	54560	30216
511	54615	30081
512	54823	30029
513	54930	29923
514	55052	29824
515	55202	29740
516	55320	29639
517	55475	29558
518	55585	29452
519	55681	29339
520	55797	29237
521	56003	29181
522	56153	29096
523	56270	28994
524	56384	28890
525	56531	28803
526	56644	28698
527	56735	28582
528	56895	28501
529	57008	28396
530	57172	28317
531	57279	28209
532	57495	28154
533	57617	28053
534	57775	27969
535	57889	27864
536	58134	27822
537	58322	27751
538	58508	27680
539	58889	27699
540	59072	27625
541	59345	27592
542	59801	27643
543	60003	27575
544	60186	27498
545	60401	27435
546	60546	27340
547	60689	27243
548	60816	27140
549	60934	27032
550	61045	26921
551	61233	26845
552	61533	26816
553	61659	26711
554	61936	26671
555	62087	26577
556	62206	26468
557	62367	26377
558	62506	26277
559	62653	26180
560	62798	26082
561	62894	25963
562	63012	25854
563	63154	25754
564	63281	25648
565	63476	25569
566	63588	25457
567	63712	25350
568	63827	25239
569	63951	25131
570	64078	25025
571	64280	24948
572	64455	24859
573	64567	24747
574	64653	24624
575	64761	24510
576	64869	24396
577	64989	24286
578	65140	24188
579	65318	24100
580	65475	24004
581	65667	23920
582	65745	23794
583	65863	23683
584	66017	23585
585	66128	23472
586	66284	23374
587	66548	23314
588	66743	23229
589	66865	23119
590	67007	23016
591	67172	22920
592	67307	22814
593	67478	22720
594	67617	22614
595	67743	22505
596	67871	22396
597	68017	22293
598	68129	22178
599	68279	22076
600	68404	21966
601	68555	21864
602	68696	21759
603	68799	21642
604	68932	21534
605	69069	21427
606	69251	21334
607	69418	21236
608	69503	21113
609	69658	21011
610	69801	20906
611	70014	20821
612	70139	20709
613	70373	20630
614	70550	20534
615	70698	20429
616	70892	20337
617	71043	20232
618	71174	20121
619	71455	20053
620	71676	19967
621	71971	19902
622	72079	19784
623	72265	19687
624	72457	19592
625	72611	19486
626	72736	19373
627	72859	19259
628	73038	19159
629	73153	19043
630	73324	18941
631	73523	18846
632	73642	18730
633	73776	18618
634	73901	18504
635	74045	18394
636	74151	18275
637	74327	18174
638	74462	18061
639	74581	17946
640	74725	17836
641	74807	17711
642	74943	17599
643	75078	17487
644	75153	17361
645	75333	17259
646	75494	17152
647	75604	17034
648	75692	16911
649	75851	16803
650	76016	16697
651	76221	16600
652	76444	16506
653	76564	16389
654	76737	16284
655	76897	16176
656	77033	16063
657	77160	15948
658	77357	15847
659	77498	15734
660	77637	15621
661	77772	15507
662	77882	15388
663	78049	15280
664	78158	15161
665	78301	15048
666	78484	14943
667	78609	14827
668	78797	14723
669	78925	14607
670	79054	14491
671	79219	14382
672	79346	14265
673	79445	14144
674	79603	14033
675	79729	13917
676	79885	13805
677	80061	13697
678	80220	13586
679	80353	13470
680	80541	13364
681	80702	13253
682	80848	13139
683	80978	13022
684	81112	12907
685	81234	12789
686	81407	12679
687	81649	12579
688	81844	12472
689	81994	12358
690	82085	12235
691	82207	12117
692	82341	12000
693	82513	11889
694	82629	11770
695	82757	11652
696	82910	11538
697	83057	11423
698	83209	11308
699	83400	11199
700	83510	11079
701	83692	10968
702	83829	10851
703	83955	10732
704	84118	10619
705	84289	10506
706	84475	10395
707	84648	10282
708	84847	10172
709	84988	10055
710	85101	9934
711	85229	9815
712	85385	9700
713	85515	9581
714	85621	9460
715	85791	9346
716	85896	9224
717	86018	9105
718	86179	8989
719	86353	8875
720	86563	8764
721	86748	8650
722	86916	8535
723	87096	8420
724	87237	8302
725	87427	8188
726	87602	8073
727	87711	7951
728	87850	7833
729	87943	7710
730	88040	7587
731	88174	7468
732	88313	7349
733	88457	7230
734	88567	7109
735	88709	6990
736	88964	6880
737	89136	6763
738	89298	6646
739	89513	6532
740	89707	6416
741	89839	6296
742	90013	6178
