iter	RMSE
0	0.6219375083
1	0.5846831848
2	0.5502643127
3	0.5182343655
4	0.4890545849
5	0.4625511221
6	0.4371249905
7	0.4139472078
8	0.3930348603
9	0.3733185483
10	0.3554840421
11	0.3387154719
12	0.3235359193
13	0.3096393553
14	0.2971812922
15	0.2855884779
16	0.2753144883
17	0.2657966255
18	0.2572167174
19	0.2497472253
20	0.2427146893
21	0.2364142573
22	0.2307461513
23	0.2254403704
24	0.2203390553
25	0.2159844356
26	0.2121681196
27	0.2088154711
28	0.2055485549
29	0.202509532
30	0.199811456
31	0.1973594664
32	0.1953297938
33	0.1933820531
34	0.1918230346
35	0.1902668002
36	0.1888652401
37	0.1874384218
38	0.186183945
39	0.1851064429
40	0.1840881067
41	0.1832288478
42	0.182325664
43	0.1813330571
44	0.1806682676
45	0.1798722044
46	0.1790553007
47	0.1783601568
48	0.1776262487
49	0.1768683599
50	0.1763028844
51	0.175661186
52	0.1749735936
53	0.174308587
54	0.1738035863
55	0.1732569366
56	0.1728535897
57	0.1721488607
58	0.17149242
59	0.1708708589
60	0.1702664357
61	0.1698170569
62	0.1694346067
63	0.1688830873
64	0.1684573338
65	0.1681367012
66	0.1677974684
67	0.1673955747
68	0.1668961776
69	0.1663817137
70	0.1659948222
71	0.165539665
72	0.1649679187
73	0.1645331712
74	0.1640959857
75	0.1636422898
76	0.1631649777
77	0.1628830847
78	0.1626221804
79	0.162182537
80	0.1617389179
81	0.1613938981
82	0.1609847703
83	0.1609072651
84	0.1604063352
85	0.1600211732
86	0.1597209965
87	0.159361827
88	0.1590407786
89	0.1588182288
90	0.1585760294
91	0.1581099733
92	0.1578381987
93	0.157514759
94	0.1571978647
95	0.1569051761
96	0.1565677727
97	0.1563229875
98	0.1559620143
99	0.1556561478
100	0.155099014
101	0.1547333626
102	0.1543833003
103	0.154107918
104	0.1537039111
105	0.1533446814
106	0.1530092137
107	0.1526974507
108	0.1523702411
109	0.1520001974
110	0.1517033206
111	0.1512736345
112	0.1508685879
113	0.1506033243
114	0.1503392531
115	0.1499656621
116	0.1496989474
117	0.1495040655
118	0.1491216993
119	0.1488867855
120	0.1484509775
121	0.1481703143
122	0.1477758747
123	0.1474796467
124	0.1471140003
125	0.1466807327
126	0.1462593557
127	0.1458096853
128	0.145381628
129	0.1449923448
130	0.1445390134
131	0.1442120336
132	0.1437631892
133	0.1435350882
134	0.1430761114
135	0.1425795676
136	0.1422180712
137	0.1418524488
138	0.141396154
139	0.1409857853
140	0.1406001008
141	0.1400463546
142	0.1396091525
143	0.1391221844
144	0.1387598893
145	0.138143407
146	0.1375907541
147	0.1372171859
148	0.136785443
149	0.136232534
150	0.1356768832
151	0.1353302377
152	0.1349195475
153	0.1343737835
154	0.1338535443
155	0.1332861856
156	0.1327318952
157	0.1323269402
158	0.13180391
159	0.1311728147
160	0.1305982821
161	0.1300565554
162	0.1294498972
163	0.1288784278
164	0.1285653702
165	0.1280505111
166	0.1272807799
167	0.1267365218
168	0.1262465811
169	0.12553614
170	0.1249340794
171	0.1243063475
172	0.1236817117
173	0.1229627844
174	0.1222320595
175	0.1216248948
176	0.1210825629
177	0.1204982773
178	0.1199759218
179	0.1191282599
180	0.1187852718
181	0.1181345583
182	0.1176775167
183	0.1171108703
184	0.1165760437
185	0.1159605999
186	0.1151820432
187	0.1146348766
188	0.1143603133
189	0.113933167
190	0.1133682942
191	0.1128955256
192	0.1122643292
193	0.1114703185
194	0.1107121322
195	0.1100026648
196	0.1094628444
197	0.1089733858
198	0.1084579583
199	0.1081030011
200	0.1075351801
201	0.106886189
202	0.1063591326
203	0.1057898154
204	0.1052384377
205	0.1048062035
206	0.1040807674
207	0.1033102205
208	0.1029847191
209	0.1024555703
210	0.1018237745
211	0.1014476411
212	0.1010687776
213	0.1005263718
214	0.09998657719
215	0.09946408205
216	0.09891634664
217	0.09835036944
218	0.09784745085
219	0.09746517615
220	0.0969621199
221	0.09641127133
222	0.09585348377
223	0.095341718
224	0.09490901174
225	0.09453048517
226	0.09400310072
227	0.09333452028
228	0.09287148216
229	0.09248266345
230	0.09200784669
231	0.09174839361
232	0.09129482349
233	0.09098775792
234	0.09060721187
235	0.0901541357
236	0.08961119658
237	0.08911325264
238	0.08873809869
239	0.08815133556
240	0.08764006993
241	0.08710905429
242	0.08658334494
243	0.08621769127
244	0.08557848378
245	0.08504740644
246	0.08464984036
247	0.08414425869
248	0.08377087454
249	0.08338125476
250	0.08284847703
251	0.08246487784
252	0.08213447327
253	0.08172348761
254	0.08128677657
255	0.08086019038
256	0.08043901542
257	0.08000321636
258	0.07955164262
259	0.07907027273
260	0.07864366006
261	0.07829651796
262	0.07789739537
263	0.0773639544
264	0.07703173515
265	0.07661962742
266	0.07626395147
267	0.07589985633
268	0.07540744441
269	0.07509942165
270	0.07467343315
271	0.07419043857
272	0.07381732241
273	0.07332222173
274	0.0730248828
275	0.07289504753
276	0.07253308395
277	0.07220434834
278	0.07182083262
279	0.07144444016
280	0.07111396436
281	0.07078461422
282	0.07037563384
283	0.06993145417
284	0.06956755851
285	0.06911659698
286	0.06869954169
287	0.06832993256
288	0.0680306877
289	0.06766033702
290	0.06737235345
291	0.06705773908
292	0.06666462464
293	0.06633997674
294	0.06588455576
295	0.06553554014
296	0.06522209345
297	0.06487710557
298	0.06449268508
299	0.06415657771
300	0.06378779039
301	0.06346118306
302	0.06315022159
303	0.06279912235
304	0.06252796197
